?????,Customer_ID,Transaction_Date,Deposit_Amount
0,C00142,6/2/2023,300
1,C00451,8/27/2023,1000
2,C00215,9/22/2023,1000
3,C00078,10/26/2023,500
4,C00733,7/23/2023,200
5,C00573,8/21/2023,200
6,C00188,10/31/2023,200
7,C00475,5/15/2023,200
8,C00516,7/24/2023,200
9,C00584,11/22/2023,50
10,C00442,4/21/2023,50
11,C00697,8/14/2023,500
12,C00516,4/12/2023,50
13,C00049,7/26/2023,100
14,C00590,9/6/2023,100
15,C00631,3/3/2023,500
16,C00136,1/10/2024,200
17,C00123,4/3/2023,50
18,C00797,9/3/2023,2000
19,C00145,8/14/2023,2000
20,C00308,7/3/2023,500
21,C00779,9/7/2023,50
22,C00347,7/24/2023,200
23,C00262,4/19/2023,100
24,C00423,2/7/2024,100
25,C00132,4/12/2023,300
26,C00157,10/12/2023,100
27,C00313,11/14/2023,100
28,C00851,9/2/2023,50
29,C00169,10/16/2023,2000
30,C00103,11/30/2023,100
31,C00094,10/19/2023,100
32,C00952,6/6/2023,500
33,C00661,8/10/2023,1000
34,C00806,10/14/2023,50
35,C00437,4/22/2023,1000
36,C00672,2/16/2024,2000
37,C00532,1/31/2024,300
38,C00564,4/23/2023,500
39,C00862,12/2/2023,200
40,C00072,1/1/2024,1000
41,C00668,5/10/2023,1000
42,C00375,4/4/2023,100
43,C00172,9/7/2023,100
44,C00189,7/24/2023,100
45,C00843,10/30/2023,100
46,C00198,10/31/2023,100
47,C00963,10/17/2023,200
48,C00500,1/14/2024,1000
49,C00079,6/19/2023,300
50,C00960,8/15/2023,500
51,C00695,11/29/2023,5000
52,C00642,4/6/2023,100
53,C00734,8/10/2023,300
54,C00825,4/12/2023,50
55,C00110,12/23/2023,300
56,C00645,1/24/2024,2000
57,C00234,9/17/2023,2000
58,C00420,5/19/2023,1000
59,C00203,11/6/2023,100
60,C00487,3/8/2023,500
61,C00517,12/21/2023,1000
62,C00612,9/13/2023,50
63,C00753,1/25/2024,1000
64,C00616,9/1/2023,2000
65,C00170,4/12/2023,500
66,C00642,5/8/2023,50
67,C00001,7/6/2023,100
68,C00092,8/29/2023,500
69,C00496,6/4/2023,200
70,C00354,9/26/2023,300
71,C00327,2/6/2024,50
72,C00960,6/6/2023,500
73,C00153,2/11/2024,50
74,C00245,11/14/2023,500
75,C00445,10/17/2023,300
76,C00848,4/23/2023,50
77,C00630,7/28/2023,500
78,C00318,5/27/2023,500
79,C00033,7/7/2023,200
80,C00167,5/1/2023,200
81,C00528,1/21/2024,50
82,C00851,10/15/2023,50
83,C00178,5/15/2023,50
84,C00258,7/4/2023,50
85,C00230,11/12/2023,100
86,C00301,3/3/2023,300
87,C00623,3/6/2023,2000
88,C00826,12/14/2023,50
89,C00162,3/4/2023,50
90,C00152,6/19/2023,300
91,C00479,6/1/2023,2000
92,C00257,4/10/2023,300
93,C00026,4/12/2023,100
94,C00872,1/13/2024,100
95,C00764,11/5/2023,200
96,C00955,2/26/2024,1000
97,C00930,8/1/2023,50
98,C00237,3/10/2023,50
99,C00755,6/2/2023,100
100,C00149,1/14/2024,200
101,C00725,9/28/2023,200
102,C00570,10/8/2023,50
103,C00234,5/19/2023,2000
104,C00304,4/8/2023,200
105,C00080,5/13/2023,300
106,C00657,12/24/2023,200
107,C00013,1/17/2024,5000
108,C00578,6/12/2023,500
109,C00123,2/8/2024,500
110,C00502,7/13/2023,200
111,C00926,12/1/2023,2000
112,C00987,2/3/2024,500
113,C00392,9/6/2023,100
114,C00001,10/18/2023,100
115,C00550,7/8/2023,1000
116,C00592,9/21/2023,200
117,C00108,4/17/2023,100
118,C00496,3/10/2023,5000
119,C00870,11/10/2023,5000
120,C00396,1/15/2024,50
121,C00832,11/16/2023,50
122,C00919,3/29/2023,50
123,C00964,5/18/2023,200
124,C00652,11/20/2023,50
125,C00977,9/21/2023,300
126,C00495,4/8/2023,1000
127,C00235,3/3/2023,1000
128,C00763,4/22/2023,2000
129,C00018,5/30/2023,100
130,C00384,12/12/2023,100
131,C00181,1/7/2024,500
132,C00415,11/4/2023,100
133,C00049,11/11/2023,5000
134,C00338,4/24/2023,100
135,C00532,2/13/2024,1000
136,C00733,2/4/2024,300
137,C00644,7/31/2023,5000
138,C00819,9/17/2023,50
139,C00106,12/2/2023,2000
140,C00563,4/16/2023,1000
141,C00616,11/24/2023,300
142,C00800,9/27/2023,200
143,C00151,3/9/2023,1000
144,C00144,5/20/2023,50
145,C00941,3/20/2023,200
146,C00374,11/3/2023,2000
147,C00316,9/4/2023,1000
148,C00775,12/26/2023,200
149,C00784,8/26/2023,50
150,C00881,1/18/2024,300
151,C00876,8/10/2023,100
152,C00270,10/10/2023,100
153,C00313,7/17/2023,50
154,C00899,6/7/2023,200
155,C00692,9/12/2023,50
156,C00792,8/6/2023,2000
157,C00750,5/29/2023,200
158,C00787,3/23/2023,200
159,C00571,7/4/2023,500
160,C00239,2/28/2024,1000
